source,title,description,content,url,publishedAt
CBS News,Netanyahu tells U.N. peacekeepers to immediately withdraw from Lebanon,"Prime Minister Benjamin Netanyahu accused them of ""providing a human shield"" to Hezbollah after Israeli strikes wounded five peacekeepers in recent days.",Prime Minister Benjamin Netanyahu called on United Nations peacekeepers to heed the Israeli military's warnings to evacuate Lebanon immediately as the fighting intensifies amid Israel's ground operat… [+2891 chars],https://www.cbsnews.com/news/netanyahu-israel-un-peacekeepers-lebanon-hezbollah/,
CBS News,"Netanyahu confirms Yahya Sinwar killing, says war is not over",Prime Minister Benjamin Netanyahu has confirmed the death of Hamas chief Yahya Sinwar in the Gaza Strip as Israel's war continues to escalate there and in Lebanon against Hezbollah. Netanyahu called for members of Hamas to release the remaining Israeli hostag…,"Watch CBS News  Copyright ©2024 CBS Interactive Inc. All rights reserved.  Get browser notifications for breaking news, live events, and exclusive reporting.  Not NowTurn On",https://www.cbsnews.com/video/netanyahu-confirms-yahya-sinwar-killing-says-war-is-not-over/,
NBC News,U.S. says it will be 'watching' as Netanyahu holds emergency meeting on increasing aid to Gaza,"Facing increasing U.S. pressure to ramp up aid into Gaza and warning that Washington would be “watching,” as Israeli Prime Minister Benjamin Netanyahu held an emergency meeting to discuss the matter on Wednesday.","Facing increasing U.S. pressure to ramp up aid into Gaza and warning that Washington would be watching, as Israeli Prime Minister Benjamin Netanyahu held an emergency meeting to discuss the matter on… [+2463 chars]",https://www.nbcnews.com/news/world/israel-gaza-aid-war-hamas-netanyahu-united-nations-starvation-letter-rcna175868,
NBC News,"Sinwar’s killing looks set to boost Netanyahu, the Houdini of Israeli politics","Twelve months ago, Israeli Prime Minister Benjamin Netanyahu had just overseen his country’s worst defense failure ever and faced widespread anger at home and abroad.","Outside of his Cabinet and political base, one charge long leveled against Netanyahu is that he has prioritized his own political survival, playing to his right-wing base by launching wars that sever… [+2311 chars]",https://www.nbcnews.com/news/world/sinwars-killing-boost-netanyahu-israeli-politics-hamas-war-rcna176067,
Yahoo Entertainment,"Netanyahu Agrees to Limit Strike on Iran, Washington Post Reports",,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_b0394421-af3d-46f9-a07a-05621dda9ca8,
Sputnikglobe.com,Netanyahu Fires Defense Minister Gallant,TEL AVIV (Sputnik) - Israeli Prime Minister Benjamin Netanyahu said on Tuesday that he fired Israeli Defense Minister Yoav Gallant because the trust between them has been frayed over the past few months.,"Get the latest news from around the world, live coverage, off-beat stories, features and analysis.  https://sputnikglobe.com/20241105/netanyahu-fires-defense-minister-gallant-1120783938.html  Netanya… [+1683 chars]",https://sputnikglobe.com/20241105/netanyahu-fires-defense-minister-gallant-1120783938.html,
Breitbart News,Netanyahu Congratulates Trump: 'History's Greatest Comeback!',"Israeli Prime Minister Benjamin Netanyahu congratulated President-elect Donald Trump on his resounding victory in the 2024 election early Wednesday morning, calling it ""history's greatest comeback."" The post Netanyahu Congratulates Trump: ‘History’s Greatest …","Israeli Prime Minister Benjamin Netanyahu congratulated President-elect Donald Trump on his resounding victory in the 2024 election early Wednesday morning, calling it “history’s greatest comeback.” … [+1920 chars]",https://www.breitbart.com/middle-east/2024/11/06/netanyahu-congratulates-trump-historys-greatest-comeback/,
Yahoo Entertainment,Israeli authorities probe suspected Gaza intelligence leak by Netanyahu aide,,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_ba432ea6-2f0d-41e1-b659-d31a2650bdfa,
Yahoo Entertainment,Macron riles Netanyahu with jab on Israel's creation,,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_97e971e3-3440-4d91-a79e-be1eb0e0dc50,
PBS,News Wrap: Netanyahu fires Israeli Defense Minister Yoav Gallant,"In our news wrap Tuesday, Israeli Prime Minister Netanyahu fired his defense minister Yoav Gallant amid a growing rift, Ukrainian troops have engaged with North Korean soldiers for the first time since they were deployed to fight for Russia and Boeing workers…","In our news wrap Tuesday, Israeli Prime Minister Netanyahu fired his defense minister Yoav Gallant amid a growing rift, Ukrainian troops have engaged with North Korean soldiers for the first time sin… [+157 chars]",https://www.pbs.org/newshour/show/news-wrap-netanyahu-fires-israeli-defense-minister-yoav-gallant,
The Week Magazine,"Netanyahu fires defense minister, sparking protests","Yoav Gallant and Netanyahu have clashed for years. The Israeli prime minister first tried to fire the defense minister in 2023, but backed off following a public outcry.","What happened  Israeli Prime Minister Benjamin Netanyahu dismissed Defense Minister Yoav Gallant Tuesday, sidelining a popular rival as Israel fights grinding wars in Gaza and Lebanon. Gallant's firi… [+2244 chars]",https://theweek.com/politics/netanyahu-fires-yoav-gallant-israel,
RT,Netanyahu made Iran strikes promise to Biden – WaPo,"Israel has told the US that it will only attack military targets in Iran when it launches its retaliation, The Washington Post has learned Read Full Article at RT.com","Israeli Prime Minister Benjamin Netanyahu has told US President Joe Biden that he intends to strike only military targets in Iran when Israel retaliates for the latest Iranian missile barrage, The Wa… [+2400 chars]",https://www.rt.com/news/605733-netanyahu-biden-iran-strike/,
RT,Trump told Netanyahu to end war – Israeli media,The former US president reportedly told the Israeli leader to wrap up operations in Gaza by inauguration day Read Full Article at RT.com,"Former US President Donald Trump told Israeli Prime Minister Benjamin Netanyahu that he wants the war in Gaza over before he takes office in January, assuming he wins next week’s presidential electio… [+2471 chars]",https://www.rt.com/news/606760-trump-israel-end-war/,
Juancole.com,Israel’s Limited Strikes on Iran show the Enormous Constraints faced by Netanyahu,Ann Arbor (Informed Comment) - The limited strikes on Iran carried out by Israeli fighter-jets early on Saturday morning Tehran time above all demonstrated the constraints under which even this extremist Israeli government has to operate. The bombings are sai…,Ann Arbor (Informed Comment) – The limited strikes on Iran carried out by Israeli fighter-jets early on Saturday morning Tehran time above all demonstrated the constraints under which even this extre… [+5064 chars],https://www.juancole.com/2024/10/enormous-constraints-netanyahu.html,
Juancole.com,"Netanyahu, Delirious at Trump’s Return, Dumps his Defense Minister to Pursue Complete Occupation of Gaza","Oakland, Ca. (Special to Informed Comment; Feature) - It was no coincidence that Israeli PM Benjamin “Bibi” Netanyahu chose the US Election Day to fire his Defense Minister, Yoav Gallant, when Washington was too distracted to respond. With Bibi, everything is…","Oakland, Ca. (Special to Informed Comment; Feature) – It was no coincidence that Israeli PM Benjamin “Bibi” Netanyahu chose the US Election Day to fire his Defense Minister, Yoav Gallant, when Washin… [+7281 chars]",https://www.juancole.com/2024/11/netanyahu-delirious-occupation.html,
Juancole.com,"Blinken and Austin Scold Netanyahu over Gaza Atrocities, playing Cynical Presidential Politics",Ann Arbor (Informed Comment) - Barak Ravid at Axios got the scoop. He was leaked a letter from Secretary of State Antony Blinken and Secretary of Defense Lloyd Austin to Israeli PM Benjamin Netanyahu and Defense Minister Yoav Gallant accusing them of reneging…,Ann Arbor (Informed Comment) – Barak Ravid at Axios got the scoop. He was leaked a letter from Secretary of State Antony Blinken and Secretary of Defense Lloyd Austin to Israeli PM Benjamin Netanyahu… [+13277 chars],https://www.juancole.com/2024/10/netanyahu-atrocities-presidential.html,
Juancole.com,The Rift over Gaza between Israel and Western Allies Deepens: Macron v. Netanyahu,"By Imran Khalid | - ( Foreign Policy in Focus ) - It took nearly a year for French President Emmanuel Macron to confront the uncomfortable truth: the path to peace in Gaza cannot be paved with more weapons to Israel. His recent remarks, sharp and unapologetic…",By Imran Khalid | –  ( Foreign Policy in Focus ) – It took nearly a year for French President Emmanuel Macron to confront the uncomfortable truth: the path to peace in Gaza cannot be paved with more … [+5309 chars],https://www.juancole.com/2024/10/between-western-netanyahu.html,
RT,‘Netanyahu will want a lot from him’: Can Trump reconcile Israel and Iran?,"The US president-elect has promised to end wars in the Middle East, but experts believe it will be no easy task Read Full Article at RT.com","Donald Trump's landslide victory has sent shockwaves through liberal circles in the US and Europe, but in many countries of the Middle East, his comeback has brought a glimpse of hope that wars could… [+7445 chars]",https://www.rt.com/news/607501-us-trump-middle-east/,
International Business Times,Israel's Netanyahu Hoping For Trump Triumph,"With the US presidential election heading into the home stretch, Israeli Prime Minister Benjamin Netanyahu will likely be hoping for Donald Trump to return to the White House.","With the US presidential election heading into the home stretch, Israeli Prime Minister Benjamin Netanyahu will likely be hoping for Donald Trump to return to the White House.  Trump's last time in o… [+4349 chars]",https://www.ibtimes.com/israels-netanyahu-hoping-trump-triumph-3748311,
Breitbart News,Netanyahu Tells UN Forces to Leave Lebanon: Hezbollah's 'Human Shields',"Israeli Prime Minister Benjamin Netanyahu published a statement Sunday urging the United Nations to withdraw so-called ""peacekeeping"" troops from Lebanon because they were acting as ""human shields"" for Hezbollah terrorists. The post Netanyahu Tells UN Forces …",Israeli Prime Minister Benjamin Netanyahu published a statement Sunday urging the United Nations to withdraw so-called “peacekeeping” troops from Lebanon because they were acting as “human shields” f… [+4043 chars],https://www.breitbart.com/middle-east/2024/10/13/netanyahu-tells-un-forces-to-leave-lebanon-hezbollahs-human-shields/,
Breitbart News,"Netanyahu Blasts Macron over 'United Nations' Insult, Lebanon Policy",Israeli Prime Minister Benjamin Netanyahu blasted French President Emmanuel Macron on Tuesday after the European leader insulted Israel by suggesting that it would not have existed except for the United Nations. The post Netanyahu Blasts Macron over ‘United N…,Israeli Prime Minister Benjamin Netanyahu blasted French President Emmanuel Macron on Tuesday after the European leader insulted Israel by suggesting that it would not have existed except for the Uni… [+3865 chars],https://www.breitbart.com/middle-east/2024/10/15/netanyahu-blasts-macron-united-nations-attempts-to-intervene-in-lebanon/,
Breitbart News,Netanyahu Offers Millions of Dollars to Palestinians Who Free Hostages,"Israeli Prime Minister Benjamin Netanyahu is offering millions of dollars, plus safe passage out of Gaza, for any Palestinians who free Israeli hostages that they are holding captive. The post Netanyahu Offers Millions of Dollars to Palestinians Who Free Host…","Israeli Prime Minister Benjamin Netanyahu is offering millions of dollars, plus safe passage out of Gaza, for any Palestinians who free Israeli hostages that they are holding captive.  The Times of I… [+2094 chars]",https://www.breitbart.com/middle-east/2024/11/05/netanyahu-offers-millions-of-dollars-to-palestinians-who-free-hostages/,
Breitbart News,Netanyahu Sends Planes to Rescue Israelis from Amsterdam,Israeli Prime Minister Benjamin Netanyahu sent two planes to Amsterdam in The Netherlands to rescue Israelis from rampaging pro-Palestinian mobs who attacked them in the streets after the local Ajax soccer team defeated Israel's Maccabi Tel Aviv. The post Net…,Israeli Prime Minister Benjamin Netanyahu sent two planes to Amsterdam in The Netherlands to rescue Israelis from rampaging pro-Palestinian mobs who attacked them in the streets after the local Ajax … [+1797 chars],https://www.breitbart.com/sports/2024/11/07/netanyahu-sends-planes-to-rescue-israelis-from-amsterdam/,
Breitbart News,Report: ICC Prosecutor Seeking Netanyahu Arrest Faces Sexual Misconduct Allegation,"International Criminal Court (ICC) officials confirmed to the Daily Mail this weekend that they had been made aware of an alleged accusation of sexual harassment against top prosecutor Karim Khan, who himself denied any wrongdoing and suggested he and his fam…","International Criminal Court (ICC) officials confirmed to the Daily Mail this weekend that they had been made aware of an alleged accusation of sexual harassment against top prosecutor Karim Khan, wh… [+6987 chars]",https://www.breitbart.com/middle-east/2024/10/21/report-icc-prosecutor-seeking-netanyahu-arrest-faces-sexual-misconduct-allegation/,
Raw Story,Netanyahu replaces fired Israeli Defense Minister with 'another genocidal lunatic',"Palestine defenders on Tuesday accused Israeli Prime Minister Benjamin Netanyahu of swapping one ""genocidal lunatic"" for another after the right-wing leader fired Defense Minister Yoav Gallant and replaced him with Israel Katz, who was serving as foreign mini…","Palestine defenders on Tuesday accused Israeli Prime Minister Benjamin Netanyahu of swapping one ""genocidal lunatic"" for another after the right-wing leader fired Defense Minister Yoav Gallant and re… [+3960 chars]",https://www.rawstory.com/netanyahu-replaces-fired-israeli-defense-minister-with-another-genocidal-lunatic/,
[Removed],[Removed],[Removed],[Removed],https://removed.com,
CBS News,"No injuries after drone strike launched at Netanyahu home, Israel says","Israel's government says a drone was launched toward the prime minister's house, with no casualties.","A drone was launched toward Prime Minister Benjamin Netanyahu's home on Saturday, the Israeli government said.   Sirens wailed Saturday morning, warning of incoming fire from Lebanon. The drone was l… [+5740 chars]",https://www.cbsnews.com/news/drone-strike-benjamin-netanyahu-israel-gaza-lebanon-hamas/,
CBS News,Netanyahu sends 2 planes to Netherlands to rescue Israeli soccer fans,Israeli and Dutch leaders have condemned a mass attack on Israeli soccer fans in Amsterdam as clear and violent antisemitism.,"Amsterdam — Antisemitic rioters ""actively sought out Israeli supporters to attack and assault them"" after a soccer match in Amsterdam, authorities in the Netherlands said Friday, with police reportin… [+4198 chars]",https://www.cbsnews.com/news/amsterdam-israeli-soccer-fans-attacked-after-maccabi-match/,
CBS News,Netanyahu sends 2 planes to Netherlands to rescue Israeli soccer fans,Prime Minister Benjamin Netanyahu sent two planes to the Netherlands to fly Israeli soccer fans home after what were called antisemitic attacks on them before and after a match in Amsterdam.,"Amsterdam — Antisemitic rioters ""actively sought out Israeli supporters to attack and assault them"" after a soccer match, Amsterdam authorities said Friday as Israel said it was sending planes to the… [+3581 chars]",https://www.cbsnews.com/news/netanyahu-2-rescue-planes-netherlands-israeli-soccer-fans-violence-amsterdam/,
CBS News,"Blinken meets with Netanyahu, seeks to revive Israel, Hamas cease-fire negotiations",Secretary of State Antony Blinken is in Israel where he met with Prime Minister Benjamin Netanyahu. Blinken is in the Middle East hoping to revive Israel and Hamas cease-fire negotiations. CBS News' Ramy Inocencio has the latest on conflict in the Middle East…,"Watch CBS News  Copyright ©2024 CBS Interactive Inc. All rights reserved.  Get browser notifications for breaking news, live events, and exclusive reporting.  Not NowTurn On",https://www.cbsnews.com/video/blinken-meets-with-netanyahu-seeks-to-revive-israel-hamas-cease-fire-negotiations/,
CBS News,What we know about Trump's call with Netanyahu after 2024 election win,More details are emerging about former President Donald Trump's call with Israeli Prime Minister Benjamin Netanyahu after the 2024 election. This comes as world leaders connect with the president-elect after he won the race against Vice President Kamala Harri…,"Watch CBS News  Copyright ©2024 CBS Interactive Inc. All rights reserved.  Get browser notifications for breaking news, live events, and exclusive reporting.  Not NowTurn On",https://www.cbsnews.com/video/what-we-know-about-trumps-call-with-netanyahu-after-2024-election-win/,
Yahoo Entertainment,Netanyahu opposes ceasefire deal that would not halt Hezbollah from rearming,Israeli Prime Minister Benjamin Netanyahu said on Tuesday he told French President Emmanuel Macron that he would not agree to a ceasefire deal that failed to...,By Steven Scheer  JERUSALEM (Reuters) - Israeli Prime Minister Benjamin Netanyahu said on Tuesday he told French President Emmanuel Macron that he would not agree to a ceasefire deal that failed to s… [+1664 chars],https://www.yahoo.com/news/netanyahu-opposes-ceasefire-deal-not-185032579.html,
Yahoo Entertainment,"Netanyahu denies targeting UNIFIL, calls for withdrawal, UNIFIL says we're staying",Israeli Prime Minister Benjamin Netanyahu on Monday rejected accusations that Israeli troops had deliberately targeted UNIFIL peacekeepers in Lebanon as...,"JERUSALEM (Reuters) - Israeli Prime Minister Benjamin Netanyahu on Monday rejected accusations that Israeli troops had deliberately targeted UNIFIL peacekeepers in Lebanon as ""completely false"" and r… [+799 chars]",https://www.yahoo.com/news/netanyahu-denies-targeting-unifil-calls-212608310.html,
BBC News,No guarantees Trump will give Netanyahu all he wants,"Trump's win has been welcomed by Israel but it's unclear what he will deliver, writes Lucy Williamson.","The bar facing the US consulate in Jerusalem is called Deja Bu - a witty reference to something youve drunk before.  And outside the gates of the US compound, Israel is eager for a second round of Do… [+4748 chars]",https://www.bbc.com/news/articles/cq6lm62vm7zo,
Yahoo Entertainment,Netanyahu says Iran's government fears its people more than Israel,,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_a3d35f9e-b6ba-4a8c-9633-4975284ed77f,
NPR,"Netanyahu could take steps to end wars after Trump's win, Middle East officials say",Officials throughout the Middle East welcomed Donald Trump’s victory — amid anticipation and anxiety across the region over how he could change the course of the wars raging from Gaza to Lebanon and beyond.,"TEL AVIV, Israel Congratulations on historys greatest comeback! Israeli Prime Minister Benjamin Netanyahu tweeted.  Officials throughout the Middle East welcomed Donald Trumps victory amid anticipati… [+2219 chars]",https://www.npr.org/2024/11/06/g-s1-33019/netanyahu-could-take-steps-to-end-wars-with-trumps-win-middle-east-officials-say,
The Atlantic,Why Netanyahu Fired His Defense Minister,The Israeli prime minister faces a dilemma that Yoav Gallant’s departure won’t solve.,"On Tuesday evening, a political earthquake shook Israel: In the midst of war, Prime Minister Benjamin Netanyahu dismissed his defense minister, Yoav Gallant.The quake was inevitable, even if the timi… [+6287 chars]",https://www.theatlantic.com/international/archive/2024/11/israel-cabinet-coalition-change/680583/,
Yahoo Entertainment,"Huddled with his generals deep in the night, Benjamin Netanyahu finally hit the button",It was just after 2.15am when Iranians woke to the sounds of explosions and the first plumes of smoke began to rise near the capital.,"It was just after 2.15am when Iranians woke to the sounds of explosions and the first plumes of smoke began to rise near the capital.  After weeks of speculation, leaks and fierce battles against Ira… [+6418 chars]",https://uk.news.yahoo.com/huddled-generals-deep-night-benjamin-093100868.html,
Yahoo Entertainment,Israel investigates leaks that appear to have bolstered Netanyahu as Gaza truce talks stalled \,An Israeli court on Sunday was considering whether to lift a gag order on a case surrounding suspected leaks of classified information from an associate of...,Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways  T… [+4966 chars],https://www.yahoo.com/news/israel-investigates-leaks-appear-bolstered-150121079.html,
Time,"Netanyahu Says He and Trump ‘See Eye to Eye,’ as Israel Bombards Lebanon and Gaza",Netanyahu said he’s spoken three times with Trump since the election and that they “see eye-to-eye regarding the Iranian threat and all of its components.”,"DEIR AL-BALAH, Gaza Strip Israeli strikes killed dozens of people including children on Sunday in Lebanon and isolated northern Gaza, as the world watched for signs of how the U.S. election might aff… [+6078 chars]",https://time.com/7174795/netanyahu-trump-israel-airstrikes-lebanon-gaza/,
BBC News,Israel's Netanyahu shows who calls the shots with Gallant sacking,The PM's decision to replace his defence minister follows sharp disagreements over Israel's war strategy.,Benjamin Netanyahu (R) said trust had cracked between him and Yoav Gallant (L)  Weve known for months that there is no love lost between Israeli Prime Minister Benjamin Netanyahu and his now former D… [+4573 chars],https://www.bbc.com/news/articles/clyvl72zdzqo,
BBC News,"Netanyahu aide leaks may have torpedoed hostage deal, court says",A top Netanyahu aide was among those arrested and investigated over leaked and falsified documents.,"Attempts to secure a peace deal in Gaza and secure the release of hostages held by Hamas may have been compromised by leaked and falsified documents involving a close aide to the prime minister, an I… [+4377 chars]",https://www.bbc.com/news/articles/cd9n02xxexko,
Yahoo Entertainment,Netanyahu: UN peacekeepers must 'immediately' depart southern Lebanon,"Israeli Prime Minister Benjamin Netanyahu said on Sunday that UN peacekeeping troops must ""immediately"" withdraw from the combat zone in southern Lebanon...","Israeli Prime Minister Benjamin Netanyahu said on Sunday that UN peacekeeping troops must ""immediately"" withdraw from the combat zone in southern Lebanon.  Five members of the multinational peacekeep… [+3738 chars]",https://www.yahoo.com/news/netanyahu-un-peacekeepers-must-immediately-144833969.html,
Yahoo Entertainment,"Drone launched at Netanyahu home in northern Israel, spokesman says","JERUSALEM (Reuters) -A drone was launched towards Israeli Prime Minister Benjamin Netanyahu's home in the northern Israeli town of Caesarea on Saturday, his ...","JERUSALEM (Reuters) -A drone was launched towards Israeli Prime Minister Benjamin Netanyahu's home in the northern Israeli town of Caesarea on Saturday, his spokesman said, adding that the premier wa… [+718 chars]",https://www.yahoo.com/news/drone-launched-netanyahu-home-northern-071725640.html,
Yahoo Entertainment,Netanyahu says Israel hit Iran hard; Khamenei says damage should not be exaggerated,"JERUSALEM/CAIRO (Reuters) -Israel's airstrikes ""hit hard"" Iran's defences and missile production, Prime Minister Benjamin Netanyahu said on Sunday, as...",Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways  B… [+3812 chars],https://www.yahoo.com/news/netanyahu-says-israel-hit-iran-140528381.html,
Yahoo Entertainment,Netanyahu mulls plan to empty northern Gaza of civilians and cut off aid to those left inside,,"If you click 'Accept all', we and our partners, including 240 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_7812aad6-42f5-48da-9246-20a842275ab5,
Al Jazeera English,Netanyahu wants UNIFIL out of Lebanon. Why?,Experts warn a withdrawal will make it impossible to monitor violations of international law.,Prime Minister Benjamin Netanyahu is pushing for the removal of UN peacekeepers as Israel escalates its attacks in southern Lebanon.  Experts believe this is aimed at removing international observers… [+5872 chars],https://www.aljazeera.com/news/2024/10/16/netanyahu-wants-unifil-out-of-lebanon-why,
Al Jazeera English,Israel’s Benjamin Netanyahu fires Defence Minister Yoav Gallant,Netanyahu says he has lost confidence in Gallant over the management of Israel's ongoing wars in Gaza and Lebanon.,"Israeli Prime Minister Benjamin Netanyahu has fired his defence minister, Yoav Gallant, and appointed Israel Katz to succeed him.  In a surprise announcement on Tuesday, Netanyahu said he had lost co… [+415 chars]",https://www.aljazeera.com/news/2024/11/5/israels-benjamin-netanyahu-fires-defence-minister-yoav-gallant,
Al Jazeera English,Video: Israel’s Benjamin Netanyahu fires Defence Minister Yoav Gallant,"Israeli Prime Minister Benjamin Netanyahu has fired his defence minister Yoav Gallant, replacing him with Israel Katz.","NewsFeed  Israeli Prime Minister Benjamin Netanyahu has fired his defence minister Yoav Gallant, replacing him with Israel Katz. Al Jazeeras Mohamed Vall explains how a long-standing rift over Gaza t… [+20 chars]",https://www.aljazeera.com/program/newsfeed/2024/11/5/video-israels-benjamin-netanyahu-fires-defence-minister-yoav-gallant,
Al Jazeera English,Hezbollah claims responsibility for drone attack on Netanyahu holiday home,Hezbollah spokesman also acknowledges that some of the group's fighters have been taken captive by the Israeli military.,The Lebanese armed group Hezbollah has claimed responsibility for a drone attack last week on Israeli Prime Minister Benjamin Netanyahus holiday residence in Caesarea in northern Israel.  The Islamic… [+1632 chars],https://www.aljazeera.com/news/2024/10/22/hezbollah-takes-responsibility-for-drone-attack-on-netanyahu-holiday-home,
The-sun.com,New Hezbollah boss threatens to KILL Netanyahu in 1st speech...,"New Hezbollah boss threatens to KILL Netanyahu in 1st speech...          (Third column, 9th story, link)              Related stories:Lebanon hopes for ceasefire with Israel in 'coming hours'...            Drudge Report Feed needs your support!   Become a Pat…",HEZBOLLAH'S new terror chief has threatened to kill Israeli PM Benjamin Netanyahu in his first national address as leader.  An ageing Naim Qassem made the twisted comments days after the Israel Defen… [+6647 chars],https://www.the-sun.com/news/12786714/hezbollah-boss-threatens-kill-netanyahu-israel/,
Biztoc.com,Netanyahu visits Lebanese border,"Israeli Prime Minister Benjamin Netanyahu made a visit to the Lebanese border on Sunday amid ongoing military operations, his office announced. This marks his second trip to the area in less than a m...","Israeli Prime Minister Benjamin Netanyahu made a visit to the Lebanese border on Sunday amid ongoing military operations, his office announced.This marks his second trip to the area in less than a m.… [+67 chars]",https://biztoc.com/x/1b58069cbe36cb71,
Al Jazeera English,Israel’s Netanyahu vows Gaza war ‘not over’ after Sinwar’s alleged killing,Israeli leader describes alleged killing of Hamas leader as 'beginning of the end' of yearlong conflict.,"Israeli Prime Minister Benjamin Netanyahu has declared that the war in Gaza is not over following the alleged killing of Hamas leader Yahya Sinwar, even as Western leaders expressed hope that his dea… [+4067 chars]",https://www.aljazeera.com/news/2024/10/18/israels-netanyahu-vows-gaza-war-not-over-after-sinwars-alleged-killing,
Al Jazeera English,Israel’s wartime row: What’s behind the rift between Netanyahu and Gallant?,The prime minister has sacked his defiant defence minister in an attempt to settle a schism at the pinnacle of power.,"As Americans cast their votes in a monumental presidential election, Israeli Prime Minister Benjamin Netanyahu quietly ousted Defence Minister Yoav Gallant.  The two figures shared an openly divisive… [+5441 chars]",https://www.aljazeera.com/news/2024/11/6/israels-wartime-row-whats-behind-the-rift-between-netanyahu-and-gallant,
Al Jazeera English,Why Netanyahu won’t let Israel stop fighting after killing Hamas’s Sinwar,"The Israeli PM has seized every opportunity to expand the fighting, and to sink any possible ceasefires.","Beirut, Lebanon Israeli forces killed Hamas leader Yahya Sinwar in combat on Wednesday in a surprise shootout in Rafah.  The news raised some hopes among Western commentators that the killing may be … [+7162 chars]",https://www.aljazeera.com/news/2024/10/20/why-netanyahu-wont-let-israel-stop-fighting-after-killing-hamass-sinwar,
Al Jazeera English,Netanyahu says war on Gaza “not over yet” after death of Hamas’s Sinwar,"Israeli Prime Minister Benjamin Netanyahu said that the war on Gaza is ""not over yet"" after the death of Hamas's Sinwar.","NewsFeed  Israeli Prime Minister Benjamin Netanyahu said that despite the death of Hamass leader Yahya Sinwar, the war on Gaza is not over yet.",https://www.aljazeera.com/program/newsfeed/2024/10/17/netanyahu-says-war-on-gaza-not-over-yet-after-death-of-hamass-sinwar,
Al Jazeera English,Have Israel’s wars on Gaza and Lebanon made Netanyahu more popular?,Some opinion polls suggest the Israeli prime minister's approval ratings are rising.,Some opinion polls suggest Israeli prime ministers approval ratings are rising.Israels Prime Minister Benjamin Netanyahu faces international condemnation for his wars on Gaza and Lebanon.  Yet some o… [+421 chars],https://www.aljazeera.com/program/inside-story/2024/10/15/have-israels-wars-on-gaza-and-lebanon-made-netanyahu-more-popular,
Biztoc.com,Netanyahu fires Israeli defense minister,"Israeli Prime Minister Benjamin Netanyahu on Tuesday fired the country's Minister of Defense Yoav Gallant.  Why it matters: Netanyahu's decision in the midst of Israel's multi-front war is being driven largely by domestic political pressure, including from me…",Israeli Prime Minister Benjamin Netanyahu on Tuesday fired the country's Minister of Defense Yoav Gallant. Why it matters: Netanyahu's decision in the midst of Israel's multi-front war is being drive… [+136 chars],https://biztoc.com/x/56a9082807389ec5,
Nakedcapitalism.com,Netanyahu Replaces Fired Israeli Defense Minister With ‘Another Genocidal Lunatic’,"Israel's new defense minister, Israel Katz, is even more bloody-minded than the one Netanyahu sacked.",Yves here. I hate to sound like a stickler regarding the Common Dreams post reproduced below. Trying to find differences among genodicers may sound like what the Japanese call a height competition am… [+11568 chars],https://www.nakedcapitalism.com/2024/11/netanyahu-replaces-fired-israeli-defense-minister-with-another-genocidal-lunatic.html,
Deadline,Benjamin Netanyahu Doc ‘The Bibi Files’ Secures Release In Multiple Territories As Goodfellas Posts Deals,"EXCLUSIVE: Benjamin Netanyahu doc The Bibi Files has secured distribution in multiple territories, flying in the face of the controversial Israeli prime minister’s attempts to block the film. The work, directed by Alexis Bloom and produced by Alex Gibney, giv…","EXCLUSIVE: Benjamin Netanyahu doc The Bibi Files has secured distribution in multiple territories, flying in the face of the controversial Israeli prime minister’s attempts to block the film.  The wo… [+3886 chars]",http://deadline.com/2024/10/benjamin-netanyahu-doc-the-bibi-files-release-goodfellas-1236159706/,
Biztoc.com,Netanyahu tells Iranians not to lose hope in 'special' message,"Israeli Prime Minister Benjamin Netanyahu on Tuesday called on the people of Iran not to lose hope, stating that the country's regime fears its own people more than Israel.In a video message published...","Israeli Prime Minister Benjamin Netanyahu on Tuesday called on the people of Iran not to lose hope, stating that the country's regime fears its own people more than Israel.In a video message publishe… [+69 chars]",https://biztoc.com/x/31436c211322407b,
